1127166460 28.217213
1127166462 27.912738
1127166464 28.217213
1127166466 27.912738
1127166468 28.217213
1127166470 28.217213
1127166472 27.912738
1127166475 28.217213
1151613910 -93.101288
1151613912 -93.101288
1151613914 -93.101288
1151613916 -93.423380
1151613918 -93.101288
1151613945 -93.423380
1151613948 -93.745555
1151613951 -93.745555
1151614040 -94.712577
1151614042 -94.712577
1151614044 -95.035085
1151614046 -95.035085
1151614059 -95.035085
1151614063 -95.035085
1151614064 -95.035085
1189781230 252.093757 0
1189781232 252.093757 0
1189781234 252.093757 0
1189781236 252.093757 0
1189781238 252.093757 0
1189781241 252.093757 0
1189805899 25.780789 0
1189805901 25.780789 0
1189805903 25.780789 0
1189805905 25.780789 0
1189805907 25.780789 0
1189805909 25.780789 0
1189805911 25.780789 0
1189805913 25.780789 0
1189805915 25.780789 0
1363281582 0.000000 0
1363281587 0.000000 0
1363281639 0.000000 0
1494419768 0.000000 0
1501118568 0.000000 0
1501118573 0.000000 0
1501118631 0.000000 0
1501118750 0.000000 0
1501118756 0.000000 0
1501118765 0.000000 0
1501118770 0.000000 0
1501118778 0.000000 0
1501118787 0.000000 0
1501118792 0.000000 0
1501118797 0.000000 0
1501118802 0.000000 0
1501118808 0.000000 0
1501118813 0.000000 0
1501118818 0.000000 0
1501118823 0.000000 0
1501118828 0.000000 0
1501118833 0.000000 0
1501118838 0.000000 0
1501118843 0.000000 0
1501118849 0.000000 0
1501118854 0.000000 0
1501118859 0.000000 0
1501118864 0.000000 0
1501118869 0.000000 0
1501118874 0.000000 0
1501118879 0.000000 0
1501118884 0.000000 0
1501118890 0.000000 0
1501118895 0.000000 0
1501118900 0.000000 0
1501118905 0.000000 0
1501118913 0.000000 0
1501118918 0.000000 0
1501118924 0.000000 0
1501118929 0.000000 0
1501118935 0.000000 0
1501118944 0.000000 0
1501118949 0.000000 0
1501118954 0.000000 0
1501118960 0.000000 0
1501118965 0.000000 0
1501118970 0.000000 0
1501118975 0.000000 0
1501118980 0.000000 0
1501118988 0.000000 0
1501118999 0.000000 0
1501119002 0.000000 0
1501119012 0.000000 0
1501119017 0.000000 0
1501119022 0.000000 0
1501119027 0.000000 0
1501119032 0.000000 0
1501119037 0.000000 0
1501119042 0.000000 0
1501119048 0.000000 0
1501119053 0.000000 0
1501119058 0.000000 0
1501119063 0.000000 0
1501119068 0.000000 0
1501119073 0.000000 0
1501119078 0.000000 0
1501119083 0.000000 0
1501119089 0.000000 0
1501119094 0.000000 0
1501119099 0.000000 0
1501119104 0.000000 0
1501119109 0.000000 0
1501119114 0.000000 0
1501119119 0.000000 0
1501119124 0.000000 0
1501119132 0.000000 0
1501119133 0.000000 0
1501119237 0.000000 0
1501119238 0.000000 0
1501119272 0.000000 0
1501119274 0.000000 0
1501119764 0.000000 0
1501119766 0.000000 0
1501119834 0.000000 0
1501119839 0.000000 0
1501119841 0.000000 0
1501119881 0.000000 0
1501119886 0.000000 0
1501119891 0.000000 0
1501119896 0.000000 0
1501119931 0.000000 0
1501119934 0.000000 0
