273403539 7700 8317 8036 7430 8330 8285
   69.80   75.20   68.55   70.16   78.22   78.22   69.80   74.96   68.32   70.16   78.00   78.11   69.62   74.85   68.10   69.98   78.00   78.00
   69.44   74.85   68.10   70.16   78.00   78.00
   69.80   74.85   68.10   70.52   78.00   78.00
   69.44   74.85   68.10   70.52   78.00   78.00
   69.44   74.85   68.10   70.52   78.00   78.00
   69.26   74.51   67.42   69.80   77.77   77.77
   69.26   74.51   67.42   69.80   77.77   77.77
   69.26   74.51   67.42   69.80   77.77   77.77
   69.26   74.51   67.42   69.80   77.77   77.77
   69.26   74.51   67.42   69.80   77.77   77.77
   69.26   74.51   67.42   69.80   77.77   77.77
   69.26   74.51   67.42   69.80   77.77   77.77
   69.26   74.51   67.42   69.80   77.77   77.77
   69.26   74.51   67.42   69.80   77.77   77.77
   69.26   74.51   67.42   69.98   77.66   77.66
   69.26   74.51   67.42   69.98   77.66   77.66
   69.26   74.51   67.55   69.98   77.66   77.66
   69.08   74.51   67.55   69.98   77.66   77.66
   69.08   74.51   67.55   69.98   77.66   77.66
   69.08   74.51   67.55   69.98   77.66   77.66
   69.08   74.51   67.55   69.98   77.66   77.66
   69.08   74.51   67.55   69.98   77.66   77.66
   69.08   74.51   67.55   69.98   77.66   77.66
   69.08   74.51   67.55   69.98   77.66   77.66
   69.08   74.51   67.55   69.98   77.66   77.66
   69.08   74.51   67.55   69.98   77.66   77.66
   69.26   74.40   67.31   69.62   77.55   77.66
   69.08   74.30   67.20   69.44   77.55   77.55
   68.54   72.95   71.70   70.70   81.37   80.36
   68.54   72.82   70.80   70.52   81.37   80.36
   68.00   71.81   68.21   69.98   81.26   80.25
   67.64   70.91   66.75   70.34   81.15   80.15
   67.28   70.12   66.20   69.80   81.05   79.91
   66.56   69.56   65.62   69.62   80.81   79.80
   65.66   69.00   65.17   69.26   80.60   79.57
   65.12   68.45   64.72   69.26   80.47   79.35
   64.58   68.00   63.82   69.26   80.25   79.25
